Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,fingerprint
"Quận 7, TP.HCM",25.0,Nhà mặt tiền,100.0,,,,Nam,Nam,Sổ hồng,bdfe69b61f40af214e41c0ba6eef5759
"Phường 1, Quận 6",7.5,"Nhà hẻm, ngõ",57.0,6.0,4.0,5.0,,,Sổ hồng,0e49f138a286b668cb75c620e3cee876
"Phường 13, Quận Phú Nhuận",200.0,Nhà mặt tiền,450.0,,,,,,Sổ hồng,626d8a1708652a547613b7a3672c6b2d
"Phường 2, Quận Phú Nhuận",25.5,Nhà mặt tiền,129.0,,,,,,Sổ hồng,c894e7f7e6afe70aa3ed624ccf2e3bba
"Phường 9, Quận 3",10.8,"Nhà hẻm, ngõ",42.5,3.0,2.0,,Đông,Đông,Sổ hồng,4ce3b04353cbb1a62863bb660721f3bf
"Xã Hiệp Phước, Huyện Nhà Bè",1.25,"Đất nông nghiệp, kho bãi",493.0,,,,,,Sổ hồng,dbd72a8014f5f460d40c872ba0cb3326
"Phường 10, Quận Tân Bình",1.55,"Nhà hẻm, ngõ",38.5,3.0,2.0,,,,Sổ hồng,205d6dd107d176a4bdd76ac8715da59a
"Phường 9, Quận Phú Nhuận",2.68,"Nhà hẻm, ngõ",44.8,3.0,3.0,3.0,,,Sổ hồng,7e0f1cd8c0f7a13708f274db247ae588
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",32.0,Nhà mặt tiền,152.0,5.0,6.0,3.0,,,Sổ hồng,7220e49aff5a031c1325d45182b43176
"Phường 11, Quận Bình Thạnh",23.0,Nhà mặt tiền,115.0,6.0,6.0,,,,Sổ hồng,bc3d7a032e8689c475c699a6f1746c74
"Phường 6, Quận 5",24.0,Nhà mặt tiền,136.0,,,,,,Sổ hồng,75c48fe3177648918dd8593ccead644a
"Phường 5, Quận Tân Bình",8.5,"Nhà hẻm, ngõ",98.4,5.0,4.0,3.0,Đông Bắc,,Sổ hồng,9bd240b053f46745ee58b386d7766c27
"Phường 13, Quận Tân Bình",18.9,Nhà mặt tiền,240.0,4.0,3.0,2.0,,,Sổ hồng,ac2e4af22a40aa3ad53634efc1b3c9e4
"Phường Bình Hưng Hòa B, Quận Bình Tân",1.65,Đất thổ cư,64.0,,,,,,Sổ hồng,5c14cf98addf441a4479b85dfa26e030
"Phường Thạnh Lộc, Quận 12",11.5,Nhà mặt tiền,507.0,5.0,6.0,3.0,Đông Bắc,Đông Bắc,Sổ hồng,cffa8e898e3cce1e9c7013f64eba8f77
"Phường 14, Quận 5",2.6,"Nhà hẻm, ngõ",83.0,5.0,2.0,,,,Sổ hồng,5ddef92b9e52af8a6f1c6018d6118dbf
"Phường 12, Quận 10",21.5,"Nhà hẻm, ngõ",90.0,4.0,4.0,3.0,,,Sổ hồng,1cf93d59570326682025bd26b54fc98f
"Phường Bình Hưng Hòa, Quận Bình Tân",2.63,"Nhà hẻm, ngõ",35.0,4.0,3.0,2.0,,,Sổ hồng,a706bb08ad864f9874c287495990649f
"Phường Phạm Ngũ Lão, Quận 1",18.0,"Nhà hẻm, ngõ",48.8,6.0,6.0,4.0,Đông Bắc,Đông,Sổ hồng,de24ea6747e2e661bad0cc848b6952bf
"Phường 7, Quận Gò Vấp",13.5,Nhà mặt tiền,100.0,4.0,4.0,3.0,,,Sổ hồng,112321ea703b396f44b6342ff07cb0c8
"Phường Linh Trung, TP. Thủ Đức - Quận Thủ Đức",3.75,"Nhà hẻm, ngõ",74.0,2.0,1.0,2.0,,,Sổ hồng,fa3bbab20b73934d362ed1b422a8345d
"Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức",3.89,Nhà mặt tiền,60.0,4.0,4.0,4.0,Đông Bắc,,Sổ hồng,cbdda0dea77b2f37faf4a1d0df28a417
"Phường An Phú Đông, Quận 12",3.3,Đất thổ cư,84.0,,,,,,Sổ hồng,3ab627328f8c3a535baf4dd3d56613db
"Phường Bình Trị Đông, Quận Bình Tân",6.7,Nhà mặt tiền,80.0,2.0,2.0,,,,Sổ hồng,08d1ef3ec1822a4fb5902742be6ba8a2
"Phường 24, Quận Bình Thạnh",7.8,"Nhà hẻm, ngõ",70.0,3.0,3.0,2.0,,,Sổ hồng,5f8e4504878ec572e27e741426811bce
"Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức",1.99,"Nhà hẻm, ngõ",60.0,3.0,3.0,,,,Sổ hồng,14f2d625490eee8a02ff9eacbf704ee4
"Phường Tân Quy, Quận 7",33.0,Nhà mặt tiền,100.0,6.0,6.0,4.0,Đông Bắc,Đông,Sổ hồng,557db84bd89038bb36bbff36b2e3204c
"Phường Tân Phú, TP. Thủ Đức - Quận 9",14.5,Nhà mặt tiền,220.7,3.0,2.0,,Đông Bắc,,Sổ đỏ,281eca443ce2a5a2053088d53a974e59
"Phường 3, Quận Tân Bình",1.55,"Nhà hẻm, ngõ",35.0,2.0,2.0,,,,Sổ hồng,8415c098bc03a8ee2ad6719df95b2999
"Phường 4, Quận 8",1.65,"Nhà hẻm, ngõ",33.8,2.0,2.0,1.0,,,Sổ đỏ,a75b228f7dbbf483125b67ebc334467f
"Phường 13, Quận Bình Thạnh",8.9,"Nhà hẻm, ngõ",64.0,4.0,4.0,4.0,,,Sổ hồng,61af31bc6d6f256a6a7f801aade4eef7
"Phường 13, Quận 5",9.48,"Nhà hẻm, ngõ",64.0,3.0,4.0,2.0,Đông Nam,,Sổ hồng,e0c8afc3401bff7b4865ce21ec0ae053
"Phường 12, Quận Bình Thạnh",2.5,"Nhà hẻm, ngõ",38.5,2.0,2.0,,,,Sổ hồng,5c436bb63237acec70ddc673931b5393
"Phường 11, Quận 5",23.0,Nhà mặt tiền,73.0,,,2.0,,,Sổ hồng,1412831bde2039f0d9c9f42d78844cb9
"Phường 11, Quận Bình Thạnh",4.8,"Nhà hẻm, ngõ",30.0,2.0,2.0,2.0,Đông Nam,,Sổ hồng,1e98fe3956914ac776ff090be77c4202
"Phường 5, Quận Bình Thạnh",12.0,"Nhà hẻm, ngõ",127.0,6.0,5.0,,,,Sổ hồng,a96e2a5a8bc62107523279fd07642afc
"Phường 14, Quận Gò Vấp",6.95,"Nhà hẻm, ngõ",90.0,13.0,13.0,3.0,,,Sổ hồng,e7e484c3e05d587baf12293f0bc349d1
"Phường 1, Quận Bình Thạnh",2.65,"Nhà hẻm, ngõ",53.7,2.0,2.0,,,,Sổ hồng,30f849213329ccd11d1296e793672ea4
"Phường 15, Quận 10",21.0,Nhà mặt tiền,89.0,3.0,2.0,2.0,,,Sổ hồng,af4267eb3aef5d857f8f23b09d984d06
"Phường 3, Quận Bình Thạnh",1.99,"Nhà hẻm, ngõ",15.0,2.0,2.0,2.0,Đông Nam,Đông Nam,Giấy tờ khác,bbb1e394966aaacb1e14ca61d0654725
"Phường Tân Phong, Quận 7",10.7,Nhà mặt tiền,65.0,3.0,2.0,2.0,Tây,Tây,Sổ hồng,a19246895cc31209bed5cfdcf2222aa4
"Phường Thạnh Lộc, Quận 12",2.5,"Nhà hẻm, ngõ",61.3,3.0,1.0,1.0,,,Sổ hồng,0dc6361325fa7ccb0cdebf0aa935eae5
"Phường 7 (Phường Võ Thị Sáu), Quận 3",36.0,"Nhà hẻm, ngõ",170.0,4.0,5.0,3.0,,,Sổ hồng,41c2cf27fc1fa648cd06a313a6c85bc4
"Xã Phước Hiệp, Huyện Củ Chi",1.75,"Đất nông nghiệp, kho bãi",1155.0,,,,,,Sổ hồng,8ad4fbcbf995796695d8e9973ec99cb6
"Phường 11, Quận 5",7.9,Nhà mặt tiền,76.8,,,,,,Sổ hồng,2f7f266f9831504cfe1c3fe1b9a8d069
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",13.3,Nhà mặt tiền,90.0,4.0,3.0,,,,Sổ hồng,79a84fa8789a736f94e57f170a6892f1
"Phường 11, Quận Gò Vấp",11.5,Nhà mặt tiền,160.0,2.0,2.0,,,,Sổ hồng,84d313a1ecca16f96342d4ef44bdae0a
"Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức",2.35,"Nhà hẻm, ngõ",30.0,1.0,2.0,,,,Sổ hồng,25fc4c8e3d72bf835467f8e198be268f
"Phường Tây Thạnh, Quận Tân Phú",6.0,"Nhà hẻm, ngõ",75.6,3.0,3.0,2.0,,,Sổ hồng,2972323f4dbc75e990758072a921df24
"Phường 15, Quận Tân Bình",2.3,"Nhà hẻm, ngõ",58.5,3.0,4.0,3.0,,,Sổ hồng,02737f57145102f684ba1c9d680eaa48
"Phường Tân Quy, Quận 7",26.0,Nhà mặt tiền,146.0,8.0,8.0,,Nam,Nam,Sổ hồng,46c9a3fa9353417b6aec620465b6f636
"Phường An Phú, TP. Thủ Đức - Quận 2",9.999,Đất thổ cư,80.0,,,,,,Sổ hồng,1395c771e7ef01fdaf039c2ec3017965
"Phường 3, Quận 5",55.0,Nhà mặt tiền,105.0,9.0,7.0,,,,Sổ hồng,e5a3ae2b0fc93a743f33fa388de38922
"Phường 22, Quận Bình Thạnh",15.5,"Nhà hẻm, ngõ",114.0,4.0,5.0,3.0,,,Sổ hồng,3170576bac273966f06ce48260a5d038
"Phường 15, Quận 10",14.0,"Nhà hẻm, ngõ",64.0,9.0,8.0,5.0,,,Sổ hồng,e5f59d99652d9e6975dcc1ea88c4a2d8
"Phường Bến Thành, Quận 1",23.0,Nhà mặt tiền,100.0,6.0,,5.0,,,Sổ hồng,666fe8e157f871aa2890f6432370da4e
"Phường 3, Quận Bình Thạnh",47.0,"Biệt thự, Villa",155.0,5.0,5.0,5.0,,,Sổ đỏ,9cd2cf1ae03d381073e83954254c1e69
"Phường Linh Đông, TP. Thủ Đức - Quận Thủ Đức",13.5,"Nhà hẻm, ngõ",200.0,4.0,3.0,2.0,Nam,Nam,Sổ hồng,c4953786267691d4bfd556a9313079e6
"Phường 5, Quận 11",10.5,Nhà mặt tiền,56.0,7.0,7.0,5.0,,,Sổ hồng,861753ad0e19a38e2908945ba774a33d
"Xã Bà Điểm, Huyện Hóc Môn",7.0,Nhà mặt tiền,109.0,1.0,1.0,1.0,Đông Bắc,,Sổ hồng,390d42b1649babeb3af5f31e532bc2be
"Phường Tân Định, Quận 1",28.0,"Biệt thự, Villa",113.0,5.0,6.0,4.0,Đông Bắc,,Sổ hồng,7279b5a727dd6c7f6725be7e4de8ede6
"Phường 3, Quận 11",5.5,Nhà mặt tiền,22.2,,,,,,Giấy tờ hợp lệ,fec559131a020438ef6718e8a66df020
"Thị Trấn Củ Chi, Huyện Củ Chi",0.59,Đất thổ cư,140.0,,,,,,Sổ hồng,b09f14ee65527829016c0fec677fae77
"Phường Hiệp Thành, Quận 12",2.5,"Nhà hẻm, ngõ",40.0,3.0,3.0,3.0,,,Sổ hồng,2542dff908584a1547edbc39d14a9a38
"Phường An Lạc, Quận Bình Tân",5.5,"Nhà hẻm, ngõ",68.0,5.0,4.0,4.0,,,Sổ hồng,21d02fbd55dc4e19991daa953ad8d3d4
"Phường 11, Quận 11",8.0,Nhà mặt tiền,40.0,,,,,,Sổ hồng,62e940fc88f9403b2ecf58e761a3dfe8
"Phường 22, Quận Bình Thạnh",14.5,"Nhà hẻm, ngõ",60.0,4.0,6.0,,Tây Bắc,Tây Bắc,Sổ hồng,0919963b965071983941e5cb8ba45593
"Xã Tân Phú Trung, Huyện Củ Chi",0.59,Đất thổ cư,128.0,,,,,,Sổ hồng,b913d62955baccb2683f4a4e76c534fe
"Phường 22, Quận Bình Thạnh",4.25,"Nhà hẻm, ngõ",60.0,3.0,2.0,1.0,,,Sổ đỏ,77826babb11760230683348991df9e1f
"Phường 11, Quận Tân Bình",11.9,Nhà mặt tiền,63.0,5.0,5.0,4.0,,,Sổ hồng,51e1da6d411f2097b378836bf273c999
"Phường Tân Quy, Quận 7",19.0,Nhà mặt tiền,79.1,8.0,9.0,,,,Sổ hồng,9ef0d277e8400c76573402d8e3ddea63
"Xã Vĩnh Lộc A, Huyện Bình Chánh",1.25,"Đất dự án, Khu dân cư",136.0,,,,,,Giấy tờ hợp lệ,07330d513f2d9af33e8cb168ac7a139b
"Phường 14, Quận Tân Bình",60.0,Nhà mặt tiền,280.0,2.0,2.0,2.0,,,Sổ hồng,b30c496028afdea5b4f52a08a2335cdd
"Phường 6 (Phường Võ Thị Sáu), Quận 3",79.0,Nhà mặt tiền,252.0,8.0,4.0,3.0,Đông Nam,,Sổ hồng,933d4f6a8f14563c0c633b9dc51e197b
"Phường 9, Quận Tân Bình",4.5,Nhà mặt tiền,25.0,,,,,,Sổ hồng,5269853c111213a7fead2a1e351448e3
"Phường Thạnh Xuân, Quận 12",0.52,"Nhà hẻm, ngõ",13.2,2.0,1.0,3.0,Tây Bắc,Tây Bắc,Giấy tờ khác,ef5f750ae5a0e97f5a955d8d5c1bad46
"Phường 7, Quận Phú Nhuận",4.06,Nhà mặt tiền,48.0,5.0,5.0,4.0,,,Sổ hồng,8cb3c833f13adfd44917a1adf0eac843
"Phường Bình Hưng Hòa A, Quận Bình Tân",1.25,"Nhà hẻm, ngõ",65.0,3.0,2.0,1.0,,,Sổ hồng,0ed9ffb6bde2e11df72c5be876f7d0fe
"Phường Bình Thuận, Quận 7",4.0,"Nhà hẻm, ngõ",35.0,2.0,2.0,2.0,,,Sổ hồng,66f36d843ceafaf9758b7e9389314f0d
"Phường 3, Quận Tân Bình",4.5,"Nhà hẻm, ngõ",64.0,4.0,5.0,3.0,,,Sổ hồng,32715bff38f777245efcfdbb67183754
"Phường 8 (Phường Võ Thị Sáu), Quận 3",2.0,"Nhà hẻm, ngõ",20.8,2.0,2.0,1.0,,,Sổ đỏ,97ccf7799d542c05eca5518eee508fd8
"Xã Bà Điểm, Huyện Hóc Môn",0.7,"Nhà hẻm, ngõ",100.0,,,,,,Sổ hồng,3ea0dd6371de53c3fb70d1ddbfb9d889
"Phường 7, Quận 8",0.88,"Nhà hẻm, ngõ",55.0,2.0,2.0,1.0,,,Sổ hồng,5028eeba9e6ae9cc6d85c823a70401b3
"Phường 1, Quận Phú Nhuận",2.79,Nhà mặt tiền,52.0,4.0,4.0,,,,Sổ hồng,e24eebc9865b9852ef5ea6a41168695b
"Xã Phước Kiển, Huyện Nhà Bè",11.5,Nhà mặt tiền,90.0,4.0,4.0,4.0,Tây,,Sổ hồng,1bb13b7011656beadc1610626a34d24b
"Phường Linh Chiểu, TP. Thủ Đức - Quận Thủ Đức",4.5,"Nhà hẻm, ngõ",63.0,2.0,1.0,,Đông Nam,,Sổ hồng,540d8ac6dd75018d14ce71494b956669
"Phường 12, Quận 6",3.85,"Nhà hẻm, ngõ",56.0,3.0,2.0,2.0,Đông Bắc,Đông Bắc,Sổ hồng,3a17c90f3c2521a640a4713cc0d16c43
"Phường Thới An, Quận 12",6.8,"Nhà hẻm, ngõ",124.0,2.0,2.0,2.0,,,Sổ hồng,5acef8255b0dd6a96b0c6e903a6d3168
"Phường 5, Quận 3",13.8,"Nhà hẻm, ngõ",60.0,,,,,,Sổ hồng,74ef1397ec217052cad498ce2f9b352e
"Phường 6, Quận Bình Thạnh",4.25,"Nhà hẻm, ngõ",19.0,2.0,3.0,4.0,,,Sổ hồng,0fd67a0345789bf572afe6979ab062a6
"Phường 7, Quận Bình Thạnh",36.0,Nhà mặt tiền,160.0,5.0,5.0,4.0,,,Sổ hồng,652cf1fa50d2f4967deeb00ab8178fad
"Huyện Nhà Bè, TP.HCM",6.5,"Đất dự án, Khu dân cư",126.0,,,,Đông Bắc,,Sổ đỏ,c219760c3984d870c3c1b3409f4639cd
"TP. Thủ Đức - Quận 2, TP.HCM",17.5,Nhà mặt tiền,86.0,5.0,6.0,,,,Sổ hồng,00ab9b6dcab5fd59c04d3cec4e0fd93c
"Phường 7, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",40.0,2.0,2.0,2.0,,,Sổ hồng,4c32f232ab5d627206613b6a7107d158
"Phường 14, Quận Gò Vấp",6.5,Nhà mặt tiền,68.0,4.0,4.0,3.0,,,Sổ hồng,95193b242de57b3b159606134c77576a
"Phường 2, Quận Phú Nhuận",2.4,"Nhà hẻm, ngõ",45.8,3.0,3.0,,,,Sổ hồng,75ef909d5613e8ad49778a4e3ca4f2e6
"Phường Bình Hưng Hòa A, Quận Bình Tân",3.18,"Nhà hẻm, ngõ",60.0,1.0,,,,,Sổ hồng,8996d18308e4ee9e774c30e4078c73ef
"Phường 11, Quận 11",1.8,"Nhà hẻm, ngõ",35.5,2.0,2.0,1.0,,,Sổ đỏ,ab6f9473af8d5bdd79e0b2d5b65463d7
"Phường Cô Giang, Quận 1",2.5,"Nhà hẻm, ngõ",15.0,1.0,2.0,,,,Sổ hồng,daad2df428ba023b05d7de1a65058af1
"Phường 2, Quận Phú Nhuận",23.5,Nhà mặt tiền,64.0,6.0,5.0,4.0,,,Sổ đỏ,dcab9f7053a936cbfd2d3b49240c4ada
"Phường Tân Định, Quận 1",41.0,Nhà mặt tiền,150.0,,,,Tây Bắc,,Sổ hồng,8d9a7b926cc813926ee3bfa722d5235d
"Phường An Khánh, TP. Thủ Đức - Quận 2",24.0,Nhà mặt tiền,96.0,,,,Tây Nam,,Sổ hồng,d0d633a3c400d7aee6ca6a87080f2b22
"Phường Phú Thạnh, Quận Tân Phú",35.0,Nhà mặt tiền,150.0,2.0,2.0,,,,Sổ hồng,f2a9768f7e2e0d73260cd531863fabdf
"Phường 3, Quận 3",4.4,Nhà mặt tiền,70.0,4.0,4.0,,,,Sổ hồng,4d79f9be3944e82d4e5c65ecf6128743
"Phường 9, Quận Gò Vấp",4.66,"Nhà hẻm, ngõ",41.4,2.0,2.0,2.0,Tây Bắc,,Sổ hồng,b22ad9c79c8150f3841ffc5a01344c7c
"Phường Thảo Điền, TP. Thủ Đức - Quận 2",15.3,Đất thổ cư,100.0,,,,Tây Bắc,,Sổ đỏ,70c7358859b174a74ecba41cdbe4d29d
"Phường 5, Quận Gò Vấp",2.2,"Nhà hẻm, ngõ",53.9,4.0,3.0,,,,Sổ hồng,8bfadcfeb65a101e9292ed59069740f3
"TP. Thủ Đức - Quận 9, TP.HCM",14.7,Nhà mặt tiền,85.0,4.0,4.0,3.0,Tây Nam,Tây Nam,Sổ hồng,7feaba12ddb8b0b154e4f610c9f4e455
"Xã Tân Thông Hội, Huyện Củ Chi",0.72,"Nhà hẻm, ngõ",120.0,,,,,,Sổ hồng,a088685f664afffb013386edffb40f7c
"Phường Bình Hưng Hòa A, Quận Bình Tân",7.0,"Nhà hẻm, ngõ",50.0,4.0,3.0,,,,Sổ đỏ,8b8f75a53e370288ee5755a65f8c97a3
"Phường 8, Quận Gò Vấp",2.75,"Nhà hẻm, ngõ",35.0,2.0,2.0,,,,Sổ hồng,6663b7d49df81eecd95552c54358acba
"Phường 16, Quận 4",5.5,Nhà mặt tiền,44.5,2.0,3.0,1.0,,,Sổ đỏ,f6bd0559225ea3f445c36720c92245df
"Phường 9, Quận Phú Nhuận",2.4,"Nhà hẻm, ngõ",38.1,3.0,4.0,2.0,,,Sổ đỏ,50c5c14b0c69d95273dab2e685aa193b
"Phường 9, Quận Gò Vấp",9.0,"Nhà hẻm, ngõ",68.0,5.0,6.0,4.0,,,Sổ hồng,fcfa368e2965ecfdf54acfaf4b459a70
"Phường 13, Quận 6",6.5,"Nhà hẻm, ngõ",86.7,2.0,3.0,1.0,,,Sổ hồng,323a08bab3aea84842347595f4446204
"Phường 12, Quận Bình Thạnh",8.9,"Nhà hẻm, ngõ",75.0,,,,,,Sổ hồng,64da49dd5d5895d3d0bada3dc07a5003
"Phường 25, Quận Bình Thạnh",9.5,"Nhà hẻm, ngõ",84.0,,,,,,Sổ hồng,76a10be2a030ddc50efb7bd2a16b8ea5
"Phường 17, Quận Bình Thạnh",14.5,"Nhà hẻm, ngõ",68.0,5.0,6.0,4.0,,,Sổ hồng,0df81a98c562cde49f37f58a6d0b6b43
"Phường Tân Thành, Quận Tân Phú",5.5,"Nhà hẻm, ngõ",50.0,1.0,1.0,,Bắc,Bắc,Sổ hồng,c67cf7751e70255b7a6f4caf135d0e11
"Phường 11, Quận Bình Thạnh",36.0,Nhà mặt tiền,193.7,30.0,29.0,,,,Sổ hồng,5846162c00468c5a6e50f83901a4ff11
"Xã Tân Kiên, Huyện Bình Chánh",0.75,"Nhà hẻm, ngõ",116.0,2.0,2.0,,,,Sổ hồng,00c7ad7d59f8cd693c2d208380b70bc3
"Phường 11, Quận Bình Thạnh",5.9,"Nhà hẻm, ngõ",63.0,4.0,3.0,2.0,,,Sổ hồng,bf0bd1b997979a34dbe2585273ca02fc
"Xã Đông Thạnh, Huyện Hóc Môn",4.2,Đất thổ cư,100.0,,,,Đông,,Sổ hồng,dfa82329beb968534e74400a28bb089e
"Phường 2, Quận 8",13.0,"Nhà hẻm, ngõ",100.0,4.0,5.0,,Bắc,,Sổ hồng,473454eede08fbacf6469843a64005b8
"Phường Hiệp Tân, Quận Tân Phú",2.9,Nhà mặt tiền,23.0,2.0,2.0,3.0,Tây,Nam,Sổ hồng,53729441780218d0f1e474fa501c2867
"Phường 9, Quận 11",33.0,Nhà mặt tiền,122.0,,,4.0,,,Sổ hồng,3e803e400557e2e548de6c63c5d74198
"Phường Hiệp Bình Phước, TP. Thủ Đức - Quận Thủ Đức",38.5,Đất thổ cư,450.0,,,,,,Sổ hồng,b63026834c7263519b3e5c971df9ff79
"Xã Bình Hưng, Huyện Bình Chánh",20.0,Nhà mặt tiền,100.0,6.0,8.0,4.0,Tây,Tây,Sổ hồng,f46f1dff73f788e20916fc2810616a79
"Xã Trung Chánh, Huyện Hóc Môn",0.6,"Nhà hẻm, ngõ",60.0,,,,,,Sổ hồng,22f1d9d8581bb463f2212bd504ab1e9c
"Phường 13, Quận 11",6.0,"Nhà hẻm, ngõ",39.0,4.0,3.0,,Đông Bắc,,Sổ hồng,b7e65057e0f0ea4d919c509c83e3c416
"Phường 3, Quận 8",13.5,Nhà mặt tiền,64.0,4.0,5.0,,,,Sổ hồng,27d58b05c91d83e4505a46fb43c48fff
"Phường 4, Quận 8",7.9,Nhà mặt tiền,48.0,2.0,2.0,2.0,,,Sổ hồng,165fb373e3b586424bf3e3e69af6d813
"Phường 25, Quận Bình Thạnh",7.6,"Nhà hẻm, ngõ",40.0,8.0,9.0,4.0,,,Sổ hồng,a6a8444b45d2df98e880fac96e819292
"Phường 4, Quận 8",13.5,Nhà mặt tiền,80.0,5.0,6.0,4.0,,,Sổ hồng,2592b21ca524c63fccaa06f1b8a4e4dc
"Phường 7, Quận 8",15.8,Nhà mặt tiền,233.0,2.0,2.0,1.0,,,Sổ hồng,13495250161f91a73e944c1a9e230365
"Phường Tân Thới Hiệp, Quận 12",6.25,"Nhà hẻm, ngõ",72.0,5.0,5.0,4.0,,,Sổ hồng,6d05cd74673df088879a158ae27a9b24
"Phường 7 (Phường Võ Thị Sáu), Quận 3",10.5,"Nhà hẻm, ngõ",41.0,5.0,6.0,4.0,Tây Nam,,Sổ hồng,97d4a06f61e4f613c738b1c237eea6e0
"Phường 2, Quận 6",3.0,"Nhà hẻm, ngõ",68.0,,,,,,Sổ hồng,e3b4e46039c3cb41a632d662be3aa98f
"Phường 11, Quận Tân Bình",10.9,"Nhà hẻm, ngõ",60.0,4.0,2.0,1.0,Tây,Tây Bắc,Sổ hồng,373668dc9fc7c7c7896a347b522c9076
"Phường 7, Quận Phú Nhuận",4.75,"Nhà hẻm, ngõ",36.0,5.0,4.0,,,,Sổ hồng,6e70c51f13cef3305b32028fbc578408
"Phường 11, Quận 6",10.0,Nhà mặt tiền,60.0,,,3.0,,,Sổ hồng,3337875e1ce907444c00d8212c926b6d
"Phường Phú Thuận, Quận 7",2.89,"Nhà hẻm, ngõ",28.6,2.0,3.0,3.0,Đông,Đông,Sổ hồng,800e17db85c765c160ce6d3186af34b3
"Phường Bình Trị Đông B, Quận Bình Tân",12.0,Nhà mặt tiền,100.0,4.0,5.0,3.0,Tây,Tây,Sổ hồng,4bd0ebb1ca696bc58340606f35042fbb
"Xã Tân Thông Hội, Huyện Củ Chi",0.6,Nhà mặt tiền,130.0,2.0,,,,,Sổ hồng,8c4b6fa7b51592d6973563c4eda02e27
"Phường 2, Quận 5",12.0,Nhà mặt tiền,26.2,4.0,,5.0,,,Sổ hồng,ebbf07a2c388f67a5cb501dde5135176
"Phường 6 (Phường Võ Thị Sáu), Quận 3",23.9,Nhà mặt tiền,80.0,,,,,,Sổ hồng,2b0dd477160e5a6a9d07f171be9acb36
"Phường 19, Quận Bình Thạnh",23.0,Nhà mặt tiền,81.0,,,,,,Sổ hồng,bfc11d64d7bddfca66a7a235916eb3ad
"Phường 5, Quận 8",0.89,"Nhà hẻm, ngõ",192.0,4.0,3.0,2.0,,,Sổ hồng,c2052b8b3890babc362c3abfca4eb8d4
"Phường Nguyễn Cư Trinh, Quận 1",26.0,Nhà mặt tiền,99.0,,,5.0,,,Sổ hồng,acd4b1a5e4c36fe0e6127f60039fccd9
"Phường Trường Thọ, TP. Thủ Đức - Quận Thủ Đức",7.95,Đất thổ cư,130.0,,,,,,Sổ hồng,8b78f02044fdade89ad82a5cfdcaf04b
"Xã Bà Điểm, Huyện Hóc Môn",0.7,"Nhà hẻm, ngõ",90.0,2.0,,,,,Sổ hồng,166b5aa8775f3f7dc32052c13fa2d5ec
"Phường Tây Thạnh, Quận Tân Phú",1.29,Nhà mặt tiền,63.2,3.0,2.0,,,,Sổ hồng,15a36018a508ef4b995b16dd03d4f9e2
"Xã Xuân Thới Sơn, Huyện Hóc Môn",0.7,"Nhà hẻm, ngõ",110.0,,,,,,Sổ hồng,32eabbf30f43890834ab68917230c512
"Xã Xuân Thới Thượng, Huyện Hóc Môn",5.6899999999999995,Nhà mặt tiền,80.4,4.0,4.0,4.0,Đông,,Sổ hồng,146d939a52e159debeceeffbf6c5129b
"Phường Thới An, Quận 12",4.95,"Nhà hẻm, ngõ",112.0,,,,,,Sổ hồng,7f0927818cc69ec6507b410eff94a8c3
"Phường 9, Quận Gò Vấp",0.986,"Nhà hẻm, ngõ",64.0,3.0,2.0,,,,Sổ hồng,11b261938d8955d3bbe90bd93d7719dc
"Phường 11, Quận Bình Thạnh",2.65,"Nhà hẻm, ngõ",42.0,3.0,2.0,,,,Sổ hồng,589bb21f8e8993ef11efd2d087fceb3c
"Phường 12, Quận Gò Vấp",6.0,Đất thổ cư,69.0,,,,,,Sổ hồng,5d2a4ff5b377d3fd2c8c51a1a21c39a2
"Phường 10, Quận 10",4.5,"Nhà hẻm, ngõ",28.0,,,2.0,Đông,,Sổ hồng,be840b329a06d7b7811245887322c46f
"Phường 7, Quận 5",1.11,"Nhà hẻm, ngõ",61.3,2.0,2.0,,,,Sổ hồng,3df8eba5d5220d77676c77773d02b8e9
"Thị Trấn Tân Túc, Huyện Bình Chánh",4.0,Nhà mặt tiền,88.0,1.0,1.0,1.0,Tây Nam,,Sổ hồng,6225a40ef41665f3b80c6d4c24b2b121
"Phường Bình Hưng Hòa A, Quận Bình Tân",3.18,"Nhà hẻm, ngõ",42.0,3.0,2.0,3.0,,,Sổ hồng,9933b6b50771478796909e9c11f10c98
"Phường 4, Quận 10",5.69,"Nhà hẻm, ngõ",44.0,3.0,3.0,4.0,,,Sổ hồng,131662d4b229f1d47cb053f1dfdd092d
"Phường Bình Hưng Hòa A, Quận Bình Tân",3.99,"Nhà hẻm, ngõ",42.0,3.0,2.0,2.0,,Tây Bắc,Sổ hồng,07ba169a6a99eef47be9c46a76d90f4e
"Phường 14, Quận Tân Bình",10.9,"Nhà hẻm, ngõ",100.0,5.0,5.0,5.0,,,Sổ hồng,fbc83f6c0ada62c78ba415357f2b1ae3
